id,City,Country,Longitude,Latitude
1,Balrothery,Ireland,-6.1884248,53.5879156
2,Tullich,United Kingdom,-3.1269422,57.4694803
3,Sutton,United Kingdom,-0.193961,51.3614279
4,Seaton,United Kingdom,-0.672296,52.574095
5,Stradbally,Ireland,-8.5054897,52.7107501
6,Ballymahon,Ireland,-7.7655701,53.5650926
7,Ballyboden,Ireland,-6.3049392,53.3021194
8,Bundoran,Ireland,-8.2817353,54.4771768
9,Walton,United Kingdom,-1.585418,52.177639
10,Greystones,Ireland,-6.0704904,53.1286984
11,Glasnevin,Ireland,-6.266734,53.3829319
12,Rathangan,Ireland,-6.9898366,53.2265199
13,Seaton,United Kingdom,-0.672296,52.574095
14,Upton,United Kingdom,-0.7009333,53.3723602
15,Glasnevin,Ireland,-6.266734,53.3829319
16,Sutton,United Kingdom,1.3443099,51.195454
17,Eadestown,Ireland,-6.590926,53.1936864
18,Sheffield,United Kingdom,-1.4730092,53.3788422
19,Halton,United Kingdom,-1.48003,53.800245
20,Kirkton,United Kingdom,-4.031512,57.961476
21,Ashley,United Kingdom,-2.2685462,51.4139633
22,Kilmacanoge,Ireland,-6.139018,53.171935
23,Moycullen,Ireland,-9.159604,53.302644
24,East End,United Kingdom,-2.0098528,50.7842082
25,Ballymahon,Ireland,-7.7655701,53.5650926
26,Edinburgh,United Kingdom,-3.1859102,55.9309486
27,Dungarvan,Ireland,-6.1822287,53.3788495
28,Claremorris,Ireland,-8.334953,51.8610022
29,Ballymun,Ireland,-6.264963,53.3897152
30,Dunlewy,Ireland,-6.1157412,53.2774963
31,Wirral,United Kingdom,-3.1605843,53.3758568
32,Lucan,Ireland,-9.4904891,52.6396679
33,Blarney,Ireland,-8.8562835,53.510243
34,Ratoath,Ireland,-6.4671298,53.5050031
35,Daingean,Ireland,-7.1297243,52.2509369
36,Burnside,United Kingdom,-3.5420426,55.9206837
37,Ballyboden,Ireland,-6.3049392,53.3021194
38,Donnybrook,Ireland,-6.2324705,53.3177535
39,Nenagh,Ireland,-8.2001004,52.86326
40,Carrigaline,Ireland,-8.3929404,51.8113447
41,London,United Kingdom,-0.1255489,51.5195403
42,Belfast,United Kingdom,-5.9308088,54.5940619
43,Stradbally,Ireland,-8.5054897,52.7107501
44,Donegal,Ireland,-8.5946591,54.632283
45,Granard,Ireland,-7.5011999,53.776647
46,Farranacoush,Ireland,-8.5171384,51.876873
47,Macroom,Ireland,-8.958931,51.904635
48,Seaton,United Kingdom,-0.672296,52.574095
49,Milton,United Kingdom,-0.934063,53.248446
50,Kingston,United Kingdom,-2.355369,50.887101
51,East End,United Kingdom,-2.0098528,50.7842082
52,Fairview,Ireland,-6.4202878,54.0026343
53,Portarlington,Ireland,-7.185387,53.158984
54,Swords,Ireland,-6.2071246,53.4562426
55,Church End,United Kingdom,0.1405602,52.216745
56,Longwood,Ireland,-6.2892907,53.310122
57,Cavan,Ireland,-7.297914,54.026345
58,Ferbane,Ireland,-8.4824714,51.8862378
59,Aghada,Ireland,-8.4627451,54.25645
60,Cill Airne,Ireland,-6.2890702,53.3201497
61,Beaumont,Ireland,-6.2057463,53.3870149
62,Monasterevin,Ireland,-7.0625888,53.1387595
63,Loughrea,Ireland,-6.3506335,53.2911347
64,Church End,United Kingdom,-0.198414,51.598282
