"UserID","Category"
"75","Architecture"
"134","Architecture"
"108","Architecture"
"61","Architecture"
"168","Adventure"
"293","Architecture"
"237","Nature"
"150","Adventure"
"220","Adventure"
"284","Food"
"52","Nature"
"118","Adventure"
"157","Adventure"
"264","Nature"
"106","Nature"
"200","Nature"
"184","Architecture"
"93","Architecture"
"290","Architecture"
"254","Adventure"
"109","Nature"
"49","Architecture"
"124","Nature"
"82","Nature"
"58","Nature"
"232","Architecture"
"116","Nature"
"165","Architecture"
"92","Adventure"
"250","Architecture"
"73","Nature"
"202","Adventure"
"229","Nature"
"236","Architecture"
"87","Nature"
"62","Adventure"
"77","Adventure"
"18","Nature"
"187","Nature"
"152","Nature"
"170","Nature"
"198","Nature"
"127","Architecture"
"110","Adventure"
"111","Architecture"
"33","Adventure"
"197","Architecture"
"221","Architecture"
"277","Nature"
"253","Adventure"
"194","Adventure"
"125","Architecture"
"66","Adventure"
"257","Architecture"
"46","Adventure"
"17","Architecture"
"156","Adventure"
"294","Architecture"
"216","Nature"
"48","Adventure"
"183","Architecture"
"209","Adventure"
"287","Architecture"
"148","Nature"
"45","Adventure"
"195","Adventure"
"104","Architecture"
"151","Architecture"
"162","Nature"
"292","Adventure"
"261","Architecture"
"147","Architecture"
"13","Architecture"
"88","Adventure"
"178","Architecture"
"56","Nature"
"84","Architecture"
"219","Architecture"
"272","Adventure"
"249","Nature"
"242","Adventure"
"38","Architecture"
"238","Architecture"
"149","Nature"
"70","Adventure"
"245","Adventure"
"47","Architecture"
"78","Adventure"
"25","Architecture"
"136","Nature"
"158","Adventure"
"10","Nature"
"51","Architecture"
"68","Adventure"
"233","Adventure"
"266","Adventure"
"268","Architecture"
"235","Nature"
"275","Food"
"243","Architecture"
"241","Architecture"
"12","Nature"
"164","Architecture"
"43","Nature"
"234","Adventure"
"259","Architecture"
"131","Nature"
"112","Nature"
"71","Adventure"
"100","Adventure"
"27","Nature"
"128","Architecture"
"295","Architecture"
"182","Adventure"
"189","Adventure"
"129","Adventure"
"248","Nature"
"20","Architecture"
"269","Architecture"
"99","Architecture"
"154","Adventure"
"69","Architecture"
"172","Nature"
"283","Architecture"
"280","Nature"
"199","Architecture"
"211","Architecture"
"174","Nature"
"35","Adventure"
"40","Architecture"
"114","Adventure"
"193","Architecture"
"60","Architecture"
"63","Nature"
"160","Architecture"
"36","Architecture"
"231","Nature"
"83","Adventure"
"81","Adventure"
"210","Architecture"
"138","Architecture"
"107","Architecture"
"19","Adventure"
"97","Architecture"
"39","Adventure"
"15","Architecture"
"227","Nature"
"163","Architecture"
"23","Adventure"
"117","Adventure"
"133","Adventure"
"204","Architecture"
"155","Food"
"255","Architecture"
"14","Architecture"
"144","Architecture"
"94","Nature"
"34","Architecture"
"32","Adventure"
"44","Adventure"
"159","Adventure"
"145","Food"
"113","Adventure"
"246","Architecture"
"74","Nature"
"274","Adventure"
"103","Nature"
"16","Architecture"
"53","Adventure"
"132","Architecture"
"276","Adventure"
"80","Architecture"
"192","Architecture"
"141","Architecture"
"252","Nature"
"31","Architecture"
"279","Adventure"
"273","Architecture"
"278","Architecture"
"161","Food"
"203","Adventure"
"121","Adventure"
"291","Adventure"
"85","Architecture"
"29","Architecture"
"91","Nature"
"179","Adventure"
"196","Architecture"
"213","Architecture"
"72","Adventure"
"218","Architecture"
"142","Nature"
"240","Adventure"
"115","Architecture"
"228","Food"
"24","Architecture"
"119","Adventure"
"239","Architecture"
"50","Architecture"
"59","Architecture"
"89","Nature"
"173","Adventure"
"139","Adventure"
"41","Architecture"
"177","Nature"
"105","Adventure"
"299","Adventure"
"191","Nature"
"98","Architecture"
"166","Architecture"
"54","Architecture"
"30","Nature"
"167","Nature"
"169","Adventure"
"55","Architecture"
"96","Nature"
"65","Architecture"
"90","Architecture"
"201","Adventure"
"176","Adventure"
"260","Food"
"153","Nature"
"67","Adventure"
"226","Nature"
"188","Adventure"
"42","Adventure"
"285","Adventure"
"207","Architecture"
"263","Adventure"
"271","Architecture"
"120","Architecture"
"11","Architecture"
"289","Architecture"
"298","Architecture"
"86","Architecture"
"282","Adventure"
"296","Adventure"
"146","Adventure"
"181","Architecture"
"230","Adventure"
"300","Architecture"
"22","Architecture"
"137","Architecture"
"247","Nature"
"206","Architecture"
"251","Architecture"
"57","Nature"
"101","Architecture"
"190","Architecture"
"102","Architecture"
"256","Adventure"
"140","Adventure"
"126","Architecture"
"288","Architecture"
"225","Nature"
"28","Architecture"
"171","Architecture"
"130","Architecture"
"212","Food"
"95","Adventure"
"76","Food"
"175","Architecture"
"122","Architecture"
"214","Architecture"
"143","Nature"
"186","Nature"
"224","Adventure"
"123","Nature"
"244","Adventure"
"258","Adventure"
"208","Adventure"
"265","Adventure"
"21","Nature"
"64","Adventure"
"217","Architecture"
"180","Architecture"
"185","Architecture"
"281","Architecture"
"26","Architecture"
"286","Nature"
"270","Nature"
"267","Nature"
"223","Nature"
"262","Nature"
"222","Architecture"
"79","Architecture"
"205","Nature"
"37","Adventure"
"215","Adventure"
"135","Adventure"
"297","Adventure"
